,country_zone,country_name_en,country_currency_code,day,new_customer_amount,generic_customer_amount,total_amount
9168,LATAM,Chile,CLP,2018-07-05,0.0,13521280.063114688,13341829.393595263
9169,LATAM,Chile,CLP,2018-07-06,0.0,16281488.35140571,16724576.424293177
9170,LATAM,Chile,CLP,2018-07-07,0.0,34480130.17658091,35776517.260235064
9171,LATAM,Chile,CLP,2018-07-08,0.0,23908075.342770312,25072156.327860266
9172,LATAM,Chile,CLP,2018-07-09,0.0,16509240.051750597,17375481.665126324
9173,LATAM,Chile,CLP,2018-07-10,0.0,15689943.619697297,16252226.815072222
9174,LATAM,Chile,CLP,2018-07-11,0.0,11427826.276023999,12751782.299573211
9175,LATAM,Chile,CLP,2018-07-12,0.0,14175823.057026243,14737853.692199621
9176,LATAM,Chile,CLP,2018-07-13,0.0,16184531.819296474,17809690.253033128
9177,LATAM,Chile,CLP,2018-07-14,0.0,18348866.40540697,18659028.056428198
9178,LATAM,Chile,CLP,2018-07-15,0.0,18101388.424057133,19710245.647592258
9179,LATAM,Chile,CLP,2018-07-16,0.0,18593566.224539805,19763318.736962717
9180,LATAM,Chile,CLP,2018-07-17,0.0,16381426.866245478,16491910.877219968
9181,LATAM,Chile,CLP,2018-07-18,0.0,21560098.473970875,22111539.304202244
9182,LATAM,Chile,CLP,2018-07-19,0.0,22046564.869194027,23129472.119330995
9183,LATAM,Chile,CLP,2018-07-20,0.0,22152821.81995317,22010772.214666177
9184,LATAM,Chile,CLP,2018-07-21,0.0,16142327.680353943,16520875.544544622
9185,LATAM,Chile,CLP,2018-07-22,0.0,18852927.828004483,18944651.48997292
9186,LATAM,Chile,CLP,2018-07-23,0.0,12869528.524062326,13399461.859235737
9187,LATAM,Chile,CLP,2018-07-24,0.0,12258142.308450012,12980725.906834165
9188,LATAM,Chile,CLP,2018-07-25,0.0,11603484.111639507,11527716.05117575
9189,LATAM,Chile,CLP,2018-07-26,0.0,15272727.459385728,15866908.565127822
9190,LATAM,Chile,CLP,2018-07-27,0.0,17885307.6635521,17769661.676528472
9191,LATAM,Chile,CLP,2018-07-28,0.0,58673930.86315271,61750331.231136955
9192,LATAM,Chile,CLP,2018-07-29,0.0,44925514.99211445,46048774.27304928
